12,1000,1000000000,1.229335
14,100,1000000,0.005969
14,200,8000000,0.018975
14,300,27000000,0.042250
14,400,64000000,0.086927
14,500,125000000,0.161391
14,600,216000000,0.287241
14,700,343000000,0.422176
14,800,512000000,0.652668
14,900,729000000,0.871113
14,1000,1000000000,1.248191
16,100,1000000,0.005967
16,200,8000000,0.019108
16,300,27000000,0.042199
16,400,64000000,0.087269
16,500,125000000,0.160109
16,600,216000000,0.260818
16,700,343000000,0.413680
16,800,512000000,0.617074
16,900,729000000,0.841849
16,1000,1000000000,1.230667
32,100,1000000,0.005530
32,200,8000000,0.017945
32,300,27000000,0.041487
32,400,64000000,0.088541
32,500,125000000,0.152567
32,600,216000000,0.249591
32,700,343000000,0.388824
32,800,512000000,0.572013
32,900,729000000,0.796714
32,1000,1000000000,1.162160
64,100,1000000,0.005530
64,200,8000000,0.017452
64,300,27000000,0.042497
64,400,64000000,0.082646
64,500,125000000,0.153566
64,600,216000000,0.247304
64,700,343000000,0.378405
64,800,512000000,0.557070
64,900,729000000,0.782509
64,1000,1000000000,1.121286
128,100,1000000,0.005165
128,200,8000000,0.016585
128,300,27000000,0.038947
128,400,64000000,0.079330
128,500,125000000,0.148943
128,600,216000000,0.240511
128,700,343000000,0.368774
128,800,512000000,0.557537
128,900,729000000,0.771407
128,1000,1000000000,1.114735
256,100,1000000,0.005684
256,200,8000000,0.018403
256,300,27000000,0.040576
256,400,64000000,0.083153
256,500,125000000,0.146165
256,600,216000000,0.238827
256,700,343000000,0.372354
256,800,512000000,0.546135
256,900,729000000,0.763973
256,1000,1000000000,1.089935
512,100,1000000,0.005692
512,200,8000000,0.017795
512,300,27000000,0.040936
512,400,64000000,0.078478
512,500,125000000,0.139194
512,600,216000000,0.237170
512,700,343000000,0.366324
512,800,512000000,0.545042
512,900,729000000,0.759674
512,1000,1000000000,1.091722
1024,100,1000000,0.005678
1024,200,8000000,0.017300
1024,300,27000000,0.042042
1024,400,64000000,0.081085
1024,500,125000000,0.141325
1024,600,216000000,0.236268
1024,700,343000000,0.361836
1024,800,512000000,0.536119
1024,900,729000000,0.776958
1024,1000,1000000000,1.071779
1,100,1000000,0.011857
1,200,8000000,0.052411
1,300,27000000,0.138817
1,400,64000000,0.311730
1,500,125000000,0.586103
1,600,216000000,1.030379
1,700,343000000,1.536389
1,800,512000000,2.198849
1,900,729000000,3.182090
1,1000,1000000000,4.320656
2,100,1000000,0.006324
2,200,8000000,0.028293
2,300,27000000,0.083112
2,400,64000000,0.185389
2,500,125000000,0.381931
2,600,216000000,0.637130
2,700,343000000,0.999498
2,800,512000000,1.337777
2,900,729000000,2.070098
2,1000,1000000000,2.755191
3,100,1000000,0.005528
3,200,8000000,0.022108
3,300,27000000,0.063128
3,400,64000000,0.144847
3,500,125000000,0.272587
3,600,216000000,0.439691
3,700,343000000,0.676321
3,800,512000000,0.991370
3,900,729000000,1.553095
3,1000,1000000000,2.054544
4,100,1000000,0.004848
4,200,8000000,0.020005
4,300,27000000,0.056577
4,400,64000000,0.127482
4,500,125000000,0.230316
4,600,216000000,0.381191
4,700,343000000,0.569715
4,800,512000000,0.853266
4,900,729000000,1.249456
4,1000,1000000000,1.771954
5,100,1000000,0.005419
5,200,8000000,0.017679
5,300,27000000,0.049683
5,400,64000000,0.117487
5,500,125000000,0.202997
5,600,216000000,0.343149
5,700,343000000,0.551764
5,800,512000000,0.771726
5,900,729000000,1.113154
5,1000,1000000000,1.655635
6,100,1000000,0.005224
6,200,8000000,0.018004
6,300,27000000,0.049354
6,400,64000000,0.105803
6,500,125000000,0.205036
6,600,216000000,0.331340
6,700,343000000,0.538013
6,800,512000000,0.762718
6,900,729000000,1.098518
6,1000,1000000000,1.456998
7,100,1000000,0.006119
7,200,8000000,0.015827
7,300,27000000,0.045010
7,400,64000000,0.099737
7,500,125000000,0.175894
7,600,216000000,0.308836
7,700,343000000,0.489037
7,800,512000000,0.693643
7,900,729000000,0.988930
7,1000,1000000000,1.331865
